"OCID","CONTRACT_TITLE","CONTRACT_TYPE","PROCUREMENT_METHOD","BUYER_NAME","SUPPLIER_NAMES","CONTRACT_START_DATE","CONTRACT_END_DATE","CONTRACT_AMOUNT","CONTRACT_CURRENCY"
1,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",11998,
2,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",147404,
3,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",66846,
4,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",11998,
5,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",71988,
6,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",78844,
7,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",8570,
8,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",109696,
9,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",73702,
10,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",111410,
11,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",173114,
12,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",25710,
13,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",11998,
14,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",1714,
15,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",5142,
16,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",8570,
17,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",174828,
18,"LOPINAVIR/RITONAVIR, SOLUCIÓN. ","Adquisiciones","Compra consolidada","SECRETARIA DE SALUD","ABBVIE FARMACÈUTICOS, S.A. DE C.V.","S/D","S/D",83986,
